method,confidence,observations,breaches,expected_breaches,breach_rate,kupiec_lr,kupiec_p_value,exact_binomial_p_value,interpretation,n00,n01,n10,n11,breach_rate_after_calm,breach_rate_after_breach,christoffersen_ind_lr,christoffersen_ind_p_value,conditional_coverage_lr,conditional_coverage_p_value
Gaussian,0.95,1517,81,75.85000000000007,0.053394858272907054,0.36044038494276265,0.5482617586702364,0.5172504638859579,Coverage not rejected at 5% (not proof of validity),1367,69,68,12,0.04805013927576602,0.15,10.988754066587603,0.0009166641422403011,11.349194451530366,0.003432051039680649
Gaussian,0.99,1517,34,15.170000000000014,0.02241265655899802,17.455853900234104,2.9405737305118537e-05,2.317469180135896e-05,Reject coverage at 5%,1455,27,27,7,0.018218623481781375,0.20588235294117646,21.09320853058557,4.374758669575068e-06,38.549062430819674,4.257723473447579e-09
Historical,0.95,1517,82,75.85000000000007,0.05405405405405406,0.5119748789959431,0.47428519354983345,0.444132452387263,Coverage not rejected at 5% (not proof of validity),1366,69,68,13,0.04808362369337979,0.16049382716049382,13.097646985078768,0.0002956669243642726,13.609621864074711,0.0011084297198590215
Historical,0.99,1517,28,15.170000000000014,0.01845748187211602,8.771463146403619,0.003059798984324064,0.002622020881212978,Reject coverage at 5%,1466,22,22,6,0.01478494623655914,0.21428571428571427,20.818694426135323,5.048773893330401e-06,29.590157572538942,3.754731825496879e-07
