date,method,confidence,train_start,train_end,loss,var,es,breach
2020-01-07,Historical,0.95,2019-01-03,2020-01-06,0.00012246886760655,0.0049751752684141495,0.0068065938714758495,False
2020-01-07,Gaussian,0.95,2019-01-03,2020-01-06,0.00012246886760655,0.005052801094020545,0.006508719492873682,False
2020-01-08,Historical,0.95,2019-01-04,2020-01-07,0.001201342471587975,0.0049751752684141495,0.0068065938714758495,False
2020-01-08,Gaussian,0.95,2019-01-04,2020-01-07,0.001201342471587975,0.005023568886871475,0.006475468996635445,False
2020-01-09,Historical,0.95,2019-01-07,2020-01-08,-0.001196899146558775,0.0049751752684141495,0.0068065938714758495,False
2020-01-09,Gaussian,0.95,2019-01-07,2020-01-08,-0.001196899146558775,0.004989100229375177,0.006420913863306648,False
2020-01-10,Historical,0.95,2019-01-08,2020-01-09,-0.00099765816711295,0.0049751752684141495,0.0068065938714758495,False
2020-01-10,Gaussian,0.95,2019-01-08,2020-01-09,-0.00099765816711295,0.004988329066252229,0.00642019359902568,False
2020-01-13,Historical,0.95,2019-01-09,2020-01-10,-0.0005755776857910753,0.0049751752684141495,0.0068065938714758495,False
2020-01-13,Gaussian,0.95,2019-01-09,2020-01-10,-0.0005755776857910753,0.004991115350243795,0.0064216699089631474,False
2020-01-14,Historical,0.95,2019-01-10,2020-01-13,-5.0868029417675085e-05,0.0049751752684141495,0.0068065938714758495,False
2020-01-14,Gaussian,0.95,2019-01-10,2020-01-13,-5.0868029417675085e-05,0.004992662038332185,0.006419710089462415,False
2020-01-15,Historical,0.95,2019-01-11,2020-01-14,-0.00322395636211415,0.0049751752684141495,0.0068065938714758495,False
2020-01-15,Gaussian,0.95,2019-01-11,2020-01-14,-0.00322395636211415,0.004996131616850301,0.006423247294674438,False
2020-01-16,Historical,0.95,2019-01-14,2020-01-15,-0.00010468694435725005,0.0049751752684141495,0.0068065938714758495,False
2020-01-16,Gaussian,0.95,2019-01-14,2020-01-15,-0.00010468694435725005,0.0049906234448838845,0.006419359853379886,False
2020-01-17,Historical,0.95,2019-01-15,2020-01-16,-0.003353753877959375,0.0049751752684141495,0.0068065938714758495,False
2020-01-17,Gaussian,0.95,2019-01-15,2020-01-16,-0.003353753877959375,0.004964025073104772,0.006389308545702213,False
2020-01-21,Historical,0.95,2019-01-16,2020-01-17,0.00148337313267245,0.0049751752684141495,0.0068065938714758495,False
2020-01-21,Gaussian,0.95,2019-01-16,2020-01-17,0.00148337313267245,0.004963868927028151,0.006388995674539866,False
2020-01-22,Historical,0.95,2019-01-17,2020-01-21,0.0010723439811791751,0.0049751752684141495,0.0068065938714758495,False
2020-01-22,Gaussian,0.95,2019-01-17,2020-01-21,0.0010723439811791751,0.00497398820135396,0.0064001375044116324,False
2020-01-23,Historical,0.95,2019-01-18,2020-01-22,0.0006460480990589251,0.0049751752684141495,0.0068065938714758495,False
2020-01-23,Gaussian,0.95,2019-01-18,2020-01-22,0.0006460480990589251,0.004981231914670815,0.006408029084429741,False
2020-01-24,Historical,0.95,2019-01-22,2020-01-23,-0.0027007763546049507,0.0049751752684141495,0.0068065938714758495,False
2020-01-24,Gaussian,0.95,2019-01-22,2020-01-23,-0.0027007763546049507,0.004986134492843284,0.00640828896697552,False
2020-01-27,Historical,0.95,2019-01-23,2020-01-24,0.006267484618150801,0.0049751752684141495,0.0068065938714758495,True
2020-01-27,Gaussian,0.95,2019-01-23,2020-01-24,0.006267484618150801,0.004940332241633583,0.0063578441733304165,True
2020-01-28,Historical,0.95,2019-01-24,2020-01-27,-0.00175624330279525,0.0051162521129559406,0.0068993461474281224,False
2020-01-28,Gaussian,0.95,2019-01-24,2020-01-27,-0.00175624330279525,0.004996505619491312,0.006423990703339055,False
